,NO2_forecast,O3_forecast,T_forecast,q_forecast,u_forecast,v_forecast,w_forecast,NO2_target,O3_target,co,hcho,blh_era5,d2m_era5,solar_elevation,sp,t2m_era5,tcc_era5,u10_era5,v10_era5,wind_dir_deg,wind_speed,HCHO_satellite,HCHO_satellite_daily,HCHO_satellite_flag,NO2_satellite,NO2_satellite_daily,NO2_satellite_flag,NO2_satellite_lag_1h,NO2_satellite_lag_3h,ratio_satellite,ratio_satellite_daily,ratio_satellite_flag,aluvd,aluvp,aod550,bcaod550,pm1,pm10,pm2p5,so2,SZA_deg,no,no2,year,month,day,hour,day_of_week,day_of_year,is_weekend,hour_sin,hour_cos,month_sin,month_cos,day_of_year_sin,day_of_year_cos,dewpoint_depression,relative_humidity_approx,wind_direction_rad,no2_pm25_ratio,pm25_pm10_ratio,blh_wind_interaction,solar_elevation_squared,is_daytime,no2_lag_1h,no2_lag_3h,pm2p5_lag_1h,pm2p5_lag_3h,pm10_lag_1h,pm10_lag_3h,so2_lag_1h,so2_lag_3h,t2m_era5_lag_1h,t2m_era5_lag_3h,wind_speed_lag_1h,wind_speed_lag_3h,no2_rolling_mean_6h,pm2p5_rolling_mean_6h,NO2_target_rolling_mean_6h,O3_target_rolling_mean_6h
NO2_forecast,1.0,-0.6885732152690668,-0.2512022604160274,0.0225683389624916,-0.09598944882788797,0.05338121682715276,0.4244373845182033,-0.022011611445110272,-0.000793155824133747,0.016435872891038678,-0.011222082279500582,-0.0762209144331419,0.010360643889598885,-0.030258209294882783,0.07174300212028237,-0.0716189921863862,0.045575645180917015,0.07332720262851039,-0.048523760607815415,-0.06561556186761928,-0.06817129515496578,0.05408095832905455,0.0017515708779234688,0.08433591010568499,0.07403112318480971,0.01443394093124107,-0.00820401786755034,0.07315763125596583,0.07484701369696986,0.05584359211493119,0.0869196831376948,0.00555107950575359,-0.02410976509152584,-0.03747004781707061,-0.025372534542387325,-0.05072478849932318,0.022717923526361664,0.02097060591901389,0.02176006127659467,0.044569834578594474,0.030258209294876305,-0.008175693012446247,0.08072878456400355,-0.01663494079563547,0.12243844388075535,0.05304230682374337,0.038150215204883896,-0.0005617740241750972,0.1251606809678703,0.04111665095345862,-0.038726085612324865,0.014347997499541056,-0.07825065562084997,0.07679576189574386,-0.10346745888203508,0.05226207939789964,-0.10729062091165308,0.10771486164027733,-0.03187906539100492,0.045307492291379085,0.02400670716039899,-0.0673722612125377,0.002967641499574064,-0.022052035671757952,0.08113248565413178,0.08169959648174946,0.02192228961529135,0.022154745416150146,0.02113151436265627,0.02135910421642591,0.04484939292027108,0.0452217144789325,-0.07133116663425382,-0.07079427900250355,-0.06769766814877434,-0.06677382284947955,0.0834665957603475,0.024469607534362513,-0.02255077371034738,0.00010351342006139591
O3_forecast,-0.6885732152690668,1.0,0.4006410185990098,-0.11316679437015108,0.13446585826052596,-0.12643572005464593,-0.691860758307911,-0.04009956034210131,-0.09436083241167016,0.014625285540452969,0.04746872326023099,0.06255383644043,-0.04380999315611195,0.03399682848900478,-0.08620154694387858,0.06958703679826113,-0.08608707652423919,-0.03816027042220517,0.039332404882814004,0.09606633662098125,0.0957224994672154,-0.05826581653070133,-0.029186390227372568,-0.08035095530343982,0.005493010262547375,0.009188383886806786,0.08144079711404575,0.005880374071498257,0.004896714089716386,-0.03211222578546758,-0.09071582094680343,0.062005841923446825,0.06661097960342138,0.0781511374012622,-0.01842030820894749,0.031817197861639654,0.005729263089798967,0.006944758386154436,0.006356039719051666,-0.01011365681353968,-0.033996828489001665,0.025324032612531598,-0.042740516618682244,0.2797476802721358,-0.11749943624499289,-0.06462253211050432,-0.005146186127549508,-0.0019036281134097149,-0.12251501224774547,-0.045922376501856224,0.007918747492071559,-0.012240322469913446,0.12811957362987936,-0.0988062243072903,0.1582458014426176,-0.05761371899323491,0.14162150857392175,-0.1412712729777387,0.0230219615752008,-0.02862450572544576,-0.021849963073297892,0.07261487854099022,-0.0009877589304283052,0.019052476919109638,-0.04272294458657703,-0.04253725571117224,0.006241507946834477,0.006036004512255636,0.00682401609438,0.006604905985150912,-0.010221792971152019,-0.010369175200528675,0.06951584348322377,0.06938910166760659,0.09551039944340083,0.09501235437565834,-0.044309145125517396,0.0038282849559607545,-0.03979292014940953,-0.0952147447736117
T_forecast,-0.2512022604160274,0.4006410185990098,1.0,-0.0971066856075358,0.08510259501784212,-0.09269549215176384,-0.3572648085684721,-0.04060726675469139,0.002788200384835014,-0.010851631299005205,0.025301041552270396,0.0441974212262698,0.04081702744387636,0.01597528596374913,-0.09836223633283876,0.1051869648549205,-0.054952665898865244,-0.0003571406659756653,0.04619931968719341,0.07370145062427773,0.012076120072080735,0.0012116304930807845,0.036926689524172454,-0.04514404629865692,-0.04392940689401828,-0.0064318985541696,0.007069617440512326,-0.04201271909450051,-0.04100090145283506,-0.0629885442622414,-0.06823674328478385,0.011442311330802448,0.09213247846990548,0.09268247338571241,0.05713849946577496,0.011341690077419751,-0.013890868399596254,0.0012840423461904856,0.00039595866902815055,-0.00788288527301557,-0.015975285963747487,0.02991298459527028,-0.046864478039930886,0.08751550871881217,0.02747172950605916,-0.0010429155506654479,-0.0005387916475215999,0.012739411855098684,0.026402179624166598,-0.015448611561457973,-0.0017013758639993922,0.004877256255506072,-0.041259146477763214,-0.084506528514776,-0.007451590552954826,-0.08359060713053809,0.09551362440443115,-0.09549125269581717,0.02688146914303698,-0.055172705658296614,-0.04825710227606603,0.03172334058959109,0.0002987207034750922,0.0006868005444970059,-0.04659623262583419,-0.045930477006347226,0.0005082738395213778,0.0008548827283301875,0.0013928443936939404,0.0017376053597527353,-0.007717169442795528,-0.007241350792445953,0.1052394918560132,0.10531145906806191,0.012362631615020579,0.012873547430131813,-0.04555871933521892,0.0014759011998060972,-0.04078446366888779,0.002736561105090884
q_forecast,0.0225683389624916,-0.11316679437015108,-0.0971066856075358,1.0,-0.1493949845524112,0.15262130893989512,-0.021088138736436574,0.02962333291544487,0.06488280797559585,-0.08282167509717289,-0.08657979007025106,0.020031876528925144,0.031179741286787837,0.01592615541088362,-0.07588374054201377,0.06259250736525765,0.11216323081214849,0.02547017275951318,0.00282128668392009,-0.11091596248782579,0.02250223299134353,-0.09564491356296073,-0.049187604913961507,-0.041992259262438505,-0.04977864026988583,-0.06095096639372466,-0.03864015449011169,-0.04997180387015307,-0.04929017240122836,0.1457416791674585,0.12806560755021523,-0.0350963047012834,0.09542412004735899,0.09301794078344418,0.11484197678656259,-0.03729804348462493,-0.07025293506737146,-0.04366273397377385,-0.04592328323113209,-0.051707313894701006,-0.01592615541088301,-0.04567217582449665,-0.042078273244732296,-0.14367860910622626,-0.03157165556417696,-0.0052114717725648615,-0.0002633663954036217,0.03588948647366534,-0.031394370309608004,0.05481840935210697,-0.0003687335208638647,0.0011598060651597914,-0.04764331844367064,-0.05606115711828581,-0.022857651749595507,-0.07103015419386786,0.049203453534930996,-0.04832476853743156,-0.00048219957360596155,-0.008262126522231397,-0.04513529170782136,0.029842484397374906,0.005798764349972588,0.0059371026781764626,-0.04206160152061512,-0.04201912833752821,-0.04590937185382545,-0.045844855440510965,-0.04364771520659763,-0.043592552191612434,-0.05168800720391055,-0.05157207384062268,0.0625362776617508,0.06239683269967829,0.022631555276436923,0.022898231267712416,-0.04122422847817061,-0.0451738254722028,0.029618208097742762,0.065021893441345
u_forecast,-0.09598944882788797,0.13446585826052596,0.08510259501784212,-0.1493949845524112,1.0,-0.47219754117266627,-0.08577782792072187,-0.025336368898254327,0.021113382030184036,-0.02986185077980191,0.013485020744500203,0.006032358828006778,0.08330164592329578,0.04864465313263764,-0.052826209058355486,0.05720676109821811,0.022865813755891858,-0.08689128169351182,0.05717234964032365,0.7387138654620786,-0.04216565464191361,-0.04101457337832005,0.004785077633137622,-0.0076374215220863986,0.0466777125942147,0.04335433771552634,-0.0285260958700009,0.04517212011754123,0.04254120686640123,0.013037523140776263,-0.0424312916245433,-0.024401127988258036,0.03270824795724754,0.03189404822811888,0.02383105621579807,0.050282545139815706,-0.031175973358819286,-0.03653229208210997,-0.03740024802567815,-0.041426610939867055,-0.04864465313263625,-0.017263358287907843,-0.036007826457899524,0.004767180981553393,-0.007534953238427388,-0.006720950460514204,-0.0015391395613019655,-0.02602243045355241,-0.008368821937520445,-0.024649428561249555,0.018427590036141694,-0.03214102120123379,-0.012753411214146155,-0.07056494278989309,0.0018232650826667082,-0.06561541339692313,-0.015733331546667974,0.013583942854209581,0.01924275778311095,0.0007633930849220934,-0.018009180523829348,-0.023931841682693883,-0.01606726762625799,0.0380748781381507,-0.03629038489118888,-0.037114259737717564,-0.03749894799852364,-0.03754825272646716,-0.03663243048944501,-0.03667758310382814,-0.041546996183321805,-0.04150627319177256,0.05713677809696105,0.057066375246070895,-0.041624025235685744,-0.040785029386309735,-0.0370721668426962,-0.03750948062006062,-0.025790190835315117,0.021161939981540923
v_forecast,0.05338121682715276,-0.12643572005464593,-0.09269549215176384,0.15262130893989512,-0.47219754117266627,1.0,0.14806296017704867,0.048911266556670684,0.06052534097888617,0.009846855679360944,-0.011506967968297976,-0.010737733063220846,-0.054063604181834146,-0.04522367798127485,0.0467296219924238,-0.04609907699885879,-0.022310864569008933,0.053425459225668374,-0.03777448070189016,-0.4065687987156484,0.03252018291656793,0.028047969812227954,0.005155619684680104,0.04096459348677363,-0.041045835928232174,-0.062358235077839844,0.019807405535519247,-0.0405938846196141,-0.04112907077552667,-0.018807973987525636,-0.0006026701569465114,0.023682340185748937,-0.02729699754512694,-0.027563695273312275,-0.05974869376970135,-0.06563994724911561,0.004450690659771438,0.003919154645719132,0.0037500096047433634,0.0178543081374665,0.045223677981276314,0.009898522025314048,0.015193574288230673,-0.15928354475854592,-0.009564097471380564,0.012453771970745587,-0.012980499505574807,-0.01959663071572803,-0.007168753996758345,0.0033838736665376375,-0.002475819606294015,0.03435973067706996,0.004791217519374676,0.058606564872472684,-0.012327260077176666,0.046722817558100045,-0.0017911144534603124,0.0021595012532380467,0.0015811463080564615,0.018597544065941225,-0.0044746102377472745,0.018917608480926443,0.002320523921837879,-0.043411211254853664,0.01532973153799492,0.0161111042310821,0.004081386406732206,0.005327735875073854,0.004245848906987617,0.005487583943494162,0.018338269445449255,0.019765569449641543,-0.04631485751956133,-0.0467793298060122,0.032376273881440376,0.031702322694052744,0.0158624277397663,0.004816679158051507,0.05032778217912891,0.05991867639735437
w_forecast,0.4244373845182033,-0.691860758307911,-0.3572648085684721,-0.021088138736436574,-0.08577782792072187,0.14806296017704867,1.0,-0.036286833383580366,0.09314598198487894,-0.038951794785194296,-0.05396388904191853,-0.04340559844211676,0.09377298561181623,-0.004952908086827442,0.018948682274188874,-0.01090842771588764,0.08146098970628003,0.0052412217556763625,-0.008993103511295288,-0.08049919357021568,-0.04529074454528057,0.047750796780944016,0.00448944758079006,0.03196735051873195,-0.04225548395093094,-0.06886517816662213,-0.05871125409192105,-0.041749788502143455,-0.03562090363618781,-0.040882015755934864,0.028869933229882905,-0.05779696695607602,-0.047309655728785975,-0.060786853224696104,-0.07057022945458412,-0.10719582824850689,-0.046270574889320584,-0.05615430439929947,-0.055364681731570636,-0.016045380411883366,0.004952908086824928,-0.030027857047469124,-0.0035936923635364756,-0.21595675213775237,0.026281718794953928,0.049100407047354806,0.0040782985783814315,-0.033423993014773716,0.03144290692242621,-0.007396445777807344,-0.010609282531789891,-0.0006978943752663526,-0.07280464605283363,0.036509273792402236,-0.08905964560078608,0.005090333407638401,-0.11845902552964442,0.12037189261966492,-0.0056154694377631795,0.06760834746629885,0.02673192120105697,-0.029280389454331278,-0.010980528964350717,-0.0022717122734732245,-0.0037953885336336254,-0.004024791237467105,-0.05547668717936481,-0.05548870820529926,-0.05626050310115027,-0.05624254445047406,-0.016095971639138534,-0.015985866835871377,-0.010954672576843806,-0.01097560021796551,-0.045189507959161004,-0.04499828519038641,-0.004466639146295405,-0.055169093954185344,-0.036588691066838104,0.0939670647486265
NO2_target,-0.022011611445110272,-0.04009956034210131,-0.04060726675469139,0.02962333291544487,-0.025336368898254327,0.048911266556670684,-0.036286833383580366,1.0,-0.22677208408460173,0.473697706881037,0.2601563161459991,-0.3774948713802125,-0.39013208734686394,-0.048937113101572366,0.4374084036618499,-0.43976789308140657,-0.2131288404603125,0.06499909482970316,-0.04857457730284767,-0.016479900800983494,-0.22961359764871395,0.022674525478870486,0.0890133312677344,0.11040710262609059,0.4261504058323277,0.27974083134559347,0.0641320538575355,0.42236436296348223,0.4238050127484178,0.018096722188881167,-0.008850680938861493,0.07095153160627857,-0.3965434650654623,-0.391381854127305,-0.025465187160653695,0.29649676288499993,0.5606260670293942,0.5354521859522364,0.5414210995083302,0.500793361890233,0.04893711310157708,0.33174698422105503,0.45440630934120757,-0.22804693227087414,0.0542980116207922,-0.01588517190637885,0.15081186828123788,-0.06258249447898821,0.05491333160182942,-0.020493136785689238,-0.2569186712464856,-0.08051571899603836,0.10417244697772722,0.45790849334212036,-0.021400655971492426,0.48292131827513635,-0.1562201710238063,0.14074883589809328,-0.07488983675545281,-0.09131726195734033,0.14425230643177364,-0.3381491091907158,-0.08842138819183155,-0.0014464081623122012,0.45361945446563556,0.44969622747784976,0.5401690410987905,0.5359108007736417,0.5341962390072273,0.5299399266849498,0.4988229612332547,0.49298565275968154,-0.4375143507052698,-0.432541797950315,-0.23026754049887876,-0.23084656577820287,0.4531893621622547,0.5354953449789454,0.989332820453599,-0.21120579138470036
O3_target,-0.000793155824133747,-0.09436083241167016,0.002788200384835014,0.06488280797559585,0.021113382030184036,0.06052534097888617,0.09314598198487894,-0.22677208408460173,1.0,-0.3728924830443331,-0.3282236922269917,0.5973189307090028,-0.018163274365860852,0.4428740856482935,-0.1267189727485844,0.40698534061460345,-0.050971218555917366,0.047653462751617595,-0.13370295579020353,0.01247618699786977,0.06947191288761806,0.1688685205567945,0.09132045176027262,0.044938198256613104,-0.027922809536148115,-0.13211558101651696,0.07992344902803142,-0.022392670392769154,-0.01849127710050753,-0.1446359356480332,-0.0897308027514056,0.06941094161565044,0.18005979956071702,0.185183303689317,-0.005525630397508977,0.027510220264832637,-0.40198373079821176,-0.39852359847307484,-0.40179440984089954,-0.4283597530350486,-0.44287408564828906,-0.32284484285283127,-0.4731343190936059,-0.22233132046266763,-0.14035954817031804,-0.03626377297736152,-0.13147442270273232,-0.012309441381299623,-0.14087292340485594,-0.017302424514650156,0.3943828438910143,-0.41763609759361464,0.15963856899669968,-0.1677321592840554,0.19965989914233515,-0.12393602569679414,0.5646002898844528,-0.5688262430889335,-0.0751750773728735,-0.21239667771988485,-0.11366929114726723,0.408414480183217,-0.004950765269579822,0.3946605438510243,-0.4751302350171618,-0.47797910090460793,-0.4028133071493024,-0.4035552887213679,-0.3994778217880539,-0.4000534480671888,-0.4300343948264452,-0.43269687180532634,0.4049425261323301,0.39994705773279315,0.06962281734261193,0.06937348966473243,-0.4882796440345707,-0.4088756819586185,-0.22455823654801663,0.9891585094415704
co,0.016435872891038678,0.014625285540452969,-0.010851631299005205,-0.08282167509717289,-0.02986185077980191,0.009846855679360944,-0.038951794785194296,0.473697706881037,-0.3728924830443331,1.0,0.7346493401960735,-0.4608236769165925,-0.4074428607274738,-0.40759455207409345,0.48248109339638856,-0.618300761465746,-0.20367142728005214,0.012548085421598918,0.028066965211393298,-0.022866656055726,-0.310618445934352,0.03324814197522238,0.0727901878967416,0.07402643350265341,0.5014673435284427,0.3601951985111384,0.07960630207088634,0.5086728639139438,0.5104927558581682,0.10076035455124498,0.009580286376602144,0.0793847602435817,-0.39657164669246764,-0.38868740449409067,-0.018301752519806546,0.27173196423258034,0.9628554006869097,0.939011668170073,0.9427738766784092,0.8731013063629759,0.4075945520740927,0.9074259387752163,0.6285568117755798,0.03406365044986225,0.03636864076135105,0.002373928305824376,0.12194177935270903,-0.02740444064788235,0.037883384703905246,0.0007368286245191608,-0.3348304345522667,0.2872017122088239,0.15434623185434604,0.4656975393873909,0.027086064717562683,0.503269174085334,-0.3730543922976787,0.37351355706337747,-0.05268178760432808,-0.20840000091662308,0.10456139806214057,-0.38951083653075724,0.1189677620788808,-0.33828841760265643,0.6206110003262423,0.6145731039480362,0.9314217034085737,0.9222699368908768,0.9276381630785732,0.9184227013689928,0.863721972474554,0.8567235147323369,-0.6175057779034722,-0.6127687838250384,-0.3091081170921812,-0.30335689637946867,0.6260837977964041,0.9340091260163825,0.4741952038487707,-0.3681920254185843
