,NO2_forecast,O3_forecast,T_forecast,q_forecast,u_forecast,v_forecast,w_forecast,NO2_target,O3_target,co,hcho,blh_era5,d2m_era5,solar_elevation,sp,t2m_era5,tcc_era5,u10_era5,v10_era5,wind_dir_deg,wind_speed,HCHO_satellite,HCHO_satellite_daily,HCHO_satellite_flag,NO2_satellite,NO2_satellite_daily,NO2_satellite_flag,ratio_satellite,ratio_satellite_daily,ratio_satellite_flag,aluvd,aluvp,aod550,bcaod550,pm1,pm10,pm2p5,so2,SZA_deg,no,no2,year,month,day,hour,day_of_week,day_of_year,is_weekend,hour_sin,hour_cos,month_sin,month_cos,day_of_year_sin,day_of_year_cos,dewpoint_depression,relative_humidity_approx,wind_direction_rad,no2_pm25_ratio,pm25_pm10_ratio,blh_wind_interaction,solar_elevation_squared,is_daytime,no2_lag_1h,no2_lag_3h,pm2p5_lag_1h,pm2p5_lag_3h,pm10_lag_1h,pm10_lag_3h,so2_lag_1h,so2_lag_3h,t2m_era5_lag_1h,t2m_era5_lag_3h,wind_speed_lag_1h,wind_speed_lag_3h,no2_rolling_mean_6h,pm2p5_rolling_mean_6h,NO2_target_rolling_mean_6h,O3_target_rolling_mean_6h
NO2_forecast,1.0,-0.7151313161330611,-0.25409172622630055,0.03458844517673536,-0.15079814024298083,0.04998182366154406,0.38724739611565323,-0.015661752534475448,-0.011699533435420652,-0.012224928576055368,-0.019967664564224958,-0.019262794981206175,0.018727184060115594,-0.007766012746278826,0.0424044185892127,-0.03319524838356204,0.05429807828508185,0.04637932050367921,-0.01729829865933693,-0.11931551552752945,-0.006676791068643402,0.0023309313189307534,-0.0026123957106934416,0.0050091661998504814,-0.007194979971331192,-0.036443357993232284,-0.020660820835857047,-0.04271492598988643,-0.031643989823025076,-0.018942003012055387,0.0013639799186304148,-0.0006315147613793138,0.004806318599684058,-0.03955945193356704,-0.02205191753615418,-0.019164976206580767,-0.01999594004023134,-0.009393116911072296,0.007766012746276618,-0.028527751062822564,0.01743812164385417,0.21066653051534037,0.01953725927438784,0.02860567413233982,0.010482437022898135,-0.005021571994876728,0.021368115853303962,0.005852604423776432,-0.008867317037816095,0.007853446875239317,-0.013189668555178296,-0.0027860293531053056,-0.011315939957352405,-0.0008503641696363585,-0.062306317198217144,0.06230097937581658,-0.010855361815908198,0.03616007137747681,-0.013882743426479825,-0.00835952870816125,0.006401779657151071,-0.004526404908441207,0.018043626697252423,0.017388363852195318,-0.020214693885746374,-0.020681076028018434,-0.019361853515554923,-0.01981746297128435,-0.009536783327107197,-0.011402100645485178,-0.03322730510485623,-0.032245655792489454,-0.004179482838363714,0.0014699108081315639,0.019707493688075266,-0.02201270970545664,-0.017426929275442572,-0.015243969852752842
O3_forecast,-0.7151313161330611,1.0,0.40112993701214905,-0.014038283313292009,0.16199478978938855,-0.07383661213253825,-0.5919785915206938,-0.019855955022499885,-0.030981687161021773,0.02285496009680801,0.05131358078030706,0.015683178114254227,-0.0027499704463292123,0.011898829922096253,-0.07637558613723369,0.0483730722765692,-0.07918147147029402,-0.026595913013095596,0.03704402614256083,0.12113580030234838,0.005918857145027696,-0.03114590892800459,-0.015014776770940711,0.003750217668542284,0.035445488918049564,0.061945147608583974,0.06241026654062027,0.06701917827328258,0.04257187105804421,0.04841952888986262,0.05538864160547255,0.055345057165611194,-0.011294539090843337,0.0186629289767766,0.02724133159250277,0.02889824698679536,0.029535549901752927,0.01616283796143605,-0.011898829922092343,0.042812553613023004,-0.020873464470945586,-0.17414208164129122,0.022753437009856225,-0.0038811540159590474,-0.009855495121870141,-0.002751597523496961,0.02196575475845107,-0.011849324175465338,0.010344613287588308,-0.00480346320369314,0.007326462499289057,-0.02809659318810966,0.013775748816406266,-0.026122079389321914,0.06581901130895777,-0.06527578357671317,0.02328329653913505,-0.044571756123760124,0.010526128429449406,0.0047248522268983914,-0.0036407217712674644,0.005083642489651559,-0.020621677583769458,-0.018534414267691476,0.029361265286817127,0.029029499978010458,0.028715099882667766,0.028311734881594147,0.016172386588119526,0.017349984926854252,0.04784475136675444,0.045947785574901104,0.005607829847797061,0.003839980058077458,-0.02094098760761842,0.031097898643149158,-0.02404257485539599,-0.03603076719385988
T_forecast,-0.25409172622630055,0.40112993701214905,1.0,-0.05575557861880155,0.12397067105385748,-0.0647760710060395,-0.2741447161670672,-0.02699765678220284,-0.048431573700852805,0.0030669400470223827,0.027290342400971154,0.007512758510990601,0.022667784266557633,0.006793442817064086,-0.06683557836752439,0.039380792823336445,-0.01307684620598218,0.03494530959770047,0.018240760981276957,0.11452005430502699,-0.020426641949254785,-0.003980066461719985,0.006454725866824842,-0.005399846801852088,0.012084639219934884,0.012496319278873024,0.012434086185259095,0.039203839971583235,0.03486431971556924,0.0078037755369247345,0.04384977104848455,0.043936445401963516,0.029673726296623806,-0.007344506541057277,0.009233858337297627,0.01794165799951429,0.018116272739893167,0.008045917072054156,-0.006793442817062369,0.02436451168991899,-0.010231115276301767,-0.12358090476622978,0.021891037376014534,0.0876589304931554,0.0008023222103892329,0.01892333847019561,0.02896128561638451,0.0026983192360155845,-0.001632454198404202,0.0027757310404939264,-0.019575488670037125,-0.040379530653676235,-0.0010460751180163372,-0.03798490985329267,0.02823484098393263,-0.02705911062839209,-0.0013370579688841491,-0.043192305634395266,-0.02386629913260609,-0.004668434874331147,-0.0008597346299177287,0.00010653602162667366,-0.009992512105569883,-0.010753252302467618,0.017881898379833214,0.016275670868381137,0.017714163087981946,0.01614464805489042,0.007404037710670219,0.004860862427933755,0.03993729367210728,0.04113374721676837,-0.02082480902338586,-0.019501045403199305,-0.01203757351914029,0.017462070272277645,-0.030756346009713862,-0.05444150027273375
q_forecast,0.03458844517673536,-0.014038283313292009,-0.05575557861880155,1.0,-0.19020778425152307,0.25194083559334324,-0.10299982504957282,-0.041867205196036206,0.0016291283833056178,-0.04152739364387829,-0.05616341110913957,0.010558874163595992,-0.010673009061412558,0.00696821666714033,-0.01243119461526484,0.02221118061838049,0.032139554183945485,-0.01271634458131794,-0.018370880199631588,-0.15786341115116204,0.019815922894964613,-0.049974848935997344,-0.061555415557632914,-0.0015041148248966826,-0.07275834932068104,-0.06847891917759236,0.001448671092895094,0.006878299252572433,0.026675928379068466,0.00929204616702757,0.03118164235142193,0.0279731359791692,0.013562631667599212,-0.054379762572901,-0.04598707659045057,-0.03960282528321918,-0.04004566803856142,-0.030614287233889557,-0.006968216667140992,-0.033673561276594835,-0.027167846055655444,-0.04194235418846806,-0.0751587798467213,-0.028108466832321058,-0.0022151107213996893,0.00418342691936791,-0.07719097648947547,0.0033515385411079985,0.002815999209477393,-0.0014438051070506555,0.0014164771009816995,-0.02530808250436289,0.00672908095521512,-0.020809114876510517,0.03979914063861885,-0.03910663742958266,-0.011133976032681146,0.026653575115661805,0.004426938954999354,0.015963078286252184,0.0015229511587563024,0.003335801320971665,-0.026957159815019834,-0.026568797207807596,-0.03952427870117946,-0.038443727322539624,-0.039038145569840886,-0.03793824935564461,-0.03009619485261606,-0.02885910854078643,0.02157193281154905,0.020369341260617898,0.020624094400775575,0.023252397201920256,-0.029935900939679766,-0.0412014239019341,-0.04710655535342721,-0.000829385293520806
u_forecast,-0.15079814024298083,0.16199478978938855,0.12397067105385748,-0.19020778425152307,1.0,-0.4966065819601688,-0.08026330539585173,0.026871220444996725,0.0014604125483660081,0.010640423144561234,0.03570147244118362,-0.023969034307106715,0.03805357866056357,-0.009356411135088675,-0.020929405308802815,0.012316313599172082,-0.009008326455681122,-0.03617093847888552,0.030653081500097927,0.7300915812181011,-0.02518667410610966,0.01200487968646972,-0.0033755547205389738,0.01022809491204761,0.07144956556398671,0.03318862820538183,0.0013119103016844974,-0.0301096517327324,-0.023805908683735517,0.015947789316802397,0.01329643110246551,0.0119695968373678,0.022565640968481928,0.041291805547711835,0.015943249600953446,0.015813925211226036,0.015233037772547453,0.008940019526449712,0.009356411135089499,0.01628966886580436,0.00984711134039967,-0.049366532482511896,0.03733046988536149,0.011481781443573875,-0.003334025683514035,-0.010855648528060046,0.03816875292156074,-0.007091771376581105,0.0012395997952462635,0.011419595865558461,-0.027589060453975155,-0.008958441237783043,-0.02915622593893826,-0.012035650919944768,-0.0226836196379579,0.0207652625440576,-0.0009115962928077519,-0.010124355495624187,-0.01829112749047707,-0.030466842303428093,-0.012534611189098353,-0.007962820306503202,0.012992835412933945,0.01809980693243776,0.016257938348213746,0.01850410712212728,0.016628427669361057,0.018394296027600426,0.01071681287970005,0.014524854675064914,0.01182170850904891,0.011246292665618943,-0.02131430995623626,-0.014719503769505036,0.017598134131666145,0.019019050495406427,0.024761833978855043,0.004367426971690486
v_forecast,0.04998182366154406,-0.07383661213253825,-0.0647760710060395,0.25194083559334324,-0.4966065819601688,1.0,-0.04329002553663659,-0.017750466749002384,0.010445899861941152,-0.03274410395219235,-0.038663373926925614,0.014931375966776133,-0.02553244087785705,0.013987843515443892,0.0032712669359173303,0.0006301528601081009,0.009177978449745867,0.016644877063945598,-0.04352564007206204,-0.4192063869756951,0.023928436496866393,0.010570349254382464,-0.0031090865751622104,-0.0001254120357677203,-0.10746334220682513,-0.07082489248208668,-0.007366240594831115,-0.03427595598271849,0.006669234086208217,-0.022892960323832118,0.0149488011752614,0.011298470593256527,-0.04781064175129656,-0.04698689160210207,-0.04023282899897995,-0.043063564895225545,-0.042417716763703386,-0.02728599212754936,-0.013987843515445108,-0.03491954631193,-0.011378206731208082,-0.06566345088258155,-0.040008062646304736,-0.011367534458668765,0.00948889617555822,-0.0017241941769125027,-0.04045803177200723,-0.0035142793117901635,-0.012128317121698902,-0.009594909064520415,0.039029657622753365,-0.016000657202144494,0.04384903553711244,-0.010243402850506882,0.026806753390742188,-0.026613884936064557,0.0001735638946708124,0.04737007650738312,0.029385229702676843,0.021485000004562303,0.00871889225813862,0.010273717631392386,-0.015253062727920076,-0.024079285995110885,-0.041557795401406514,-0.03995870490822902,-0.041983263878575046,-0.039965307360992845,-0.027608763266203817,-0.0285378587553515,0.0025640930399758615,0.005982584672481364,0.02392896582612738,0.027890980078990737,-0.02410371217498575,-0.04331580058670585,-0.017831081172876347,0.010323145425599745
w_forecast,0.38724739611565323,-0.5919785915206938,-0.2741447161670672,-0.10299982504957282,-0.08026330539585173,-0.04329002553663659,1.0,-0.07967455162334539,-0.05791804616615813,-0.03759765494135769,-0.06724846512292673,-0.03310969859964511,0.1226877830371991,-0.0013835402667875618,0.002656672386423395,-0.008381656252294775,0.09932269271027698,-0.034903232603396506,0.04009893235027228,-0.049959519539219,-0.02448699343050295,-0.06945326915486232,-0.0805456055925162,-0.041429767838638464,-0.06647178082585291,-0.061145105553540316,-0.06548598028356471,-0.016672161837099585,-0.026125106366568104,-0.06994085282421343,-0.08684932514252293,-0.08871865731225813,-0.023958170798103483,-0.07502650356783393,-0.04376883289133588,-0.047016607989661036,-0.047469165468694195,-0.024322112023713885,0.0013835402667850016,-0.026564250151723784,-0.020949046431719603,0.031138910012080988,-0.02634596852194297,-0.005686044566401362,0.0026219818952984216,-0.001327754395301192,-0.026478499562377612,-0.004202532579862066,-0.006416204532682921,0.0007852444020126557,-0.05376164115717527,0.006104026311477293,-0.05822867594319265,-0.010446912069511233,-0.13578580170596102,0.13828609547955203,0.01178237930369948,0.042021227423583635,-0.01178337079135415,-0.029126489071732924,-0.0029493136749927547,0.000527769170163801,-0.021275812052857012,-0.023315943840424506,-0.04803137724439322,-0.05130562481047125,-0.04752171397064297,-0.0506516704745449,-0.02501009636735491,-0.028182026558607666,-0.008180441199777731,-0.007344609003270859,-0.024871355223334175,-0.023407950625479443,-0.026066206769880373,-0.05397117400915881,-0.09037084228092397,-0.0739229320290231
NO2_target,-0.015661752534475448,-0.019855955022499885,-0.02699765678220284,-0.041867205196036206,0.026871220444996725,-0.017750466749002384,-0.07967455162334539,1.0,-0.21835625865998723,0.4558408679433605,0.3367438756553446,-0.4058144908378492,-0.27256507293095905,-0.07852158475762072,0.2635496524399443,-0.31678035600190224,-0.17332931846123423,-0.06383912566591268,0.08598676717233632,0.02477566492514005,-0.23051275963078613,0.05742678314922968,0.10193691983498263,0.07913467230228675,0.33328276012976404,0.2190021669544314,0.06862517425086039,0.014797720515054982,-0.00464649154669252,0.08326277703268051,-0.1478753021405481,-0.1485509711097929,0.012112413866003644,0.2689750225936092,0.5319626395086194,0.5167322152314116,0.5220981778383085,0.48569504044403294,0.0785215847576207,0.3427724152465921,0.5066138694109631,0.14834082088434528,0.024466235245433315,0.003932503398835437,0.17383009803268276,-0.011324724704210783,0.02611608243625785,-0.01919147021008383,-0.3298779914162519,0.0013674665233006152,0.13097773559775053,0.2750204655458051,0.05641799157636014,0.3050273274513867,-0.1352952477415737,0.12278656421350904,0.03274406852823787,-0.0051499364494559255,0.16641267285835482,-0.3567005933448382,-0.13241616533852735,-0.022822210714729226,0.4783890288022153,0.30801211994411776,0.4906501580797512,0.36384022123180865,0.4852093863210665,0.35974565415286625,0.44095070850216034,0.31601229118441887,-0.2876209913830616,-0.19615629060336293,-0.23705877197269576,-0.19654294937683273,0.3739275861923929,0.4078518082853286,0.7864146593674236,0.04603813169922105
O3_target,-0.011699533435420652,-0.030981687161021773,-0.048431573700852805,0.0016291283833056178,0.0014604125483660081,0.010445899861941152,-0.05791804616615813,-0.21835625865998723,1.0,-0.3015479576838304,-0.25092731652453154,0.5890203234545025,-0.19087393925032722,0.37804056513386336,-0.013917035103271042,0.3489850796983821,-0.1181115229641304,0.16364969207245808,-0.20196101389717164,0.008062149248603967,0.13130297794576598,0.11536132010562145,0.036843537368138654,0.0978117289025776,0.09803730930302054,-0.001584245884779069,0.12713394255171084,-0.03549880825305036,-0.02515718471933174,0.12837833027670686,0.12438362240484895,0.12161135732265166,-0.08990209374526381,0.01650026097271233,-0.3371821684915057,-0.3374436965549261,-0.3404396733982478,-0.37237671462392763,-0.37804056513386264,-0.26885645527872964,-0.4519856992813448,0.17058944888416064,-0.13474000747400494,0.013747450321531879,-0.1277552250467402,0.008727118857149677,-0.13341090099335468,-0.006870734431579585,0.3341890609401658,-0.3737566932444676,0.22272441009968147,-0.08654446471377202,0.23917454138800626,-0.023631716192496512,0.6489192155699067,-0.6443520911389475,-0.08450703617577238,-0.23360093188534542,-0.13516888865771134,0.46851230813548006,0.013774713707153507,0.34162590034808926,-0.4630033043504031,-0.34149275965161663,-0.33162595666749245,-0.22234988523313537,-0.3278262264041626,-0.21821713174765667,-0.37966823290435675,-0.3102255096055717,0.32938172796165793,0.2234900450555898,0.13491687706038225,0.1015499081735975,-0.3842523338826026,-0.24291477337722056,-0.10955500802499031,0.7582220020232424
co,-0.012224928576055368,0.02285496009680801,0.0030669400470223827,-0.04152739364387829,0.010640423144561234,-0.03274410395219235,-0.03759765494135769,0.4558408679433605,-0.3015479576838304,1.0,0.7509563176091715,-0.44385368541743275,-0.3991737353290416,-0.49714053978268885,0.49402543106962693,-0.6352746678097475,-0.17193479014137092,-0.02848194212450891,0.04752951882706728,0.002485640876689318,-0.34192726620096425,0.04614310715579894,0.10934417960972141,0.0707910605625199,0.4310685841049855,0.3525161805296366,0.05623201375350381,0.06435608454629356,0.021908102320516633,0.058820279731204066,-0.3729543397439094,-0.3725212176107024,0.07663180662540027,0.33420947052205624,0.9637828547748639,0.9491867289620598,0.950656331074231,0.8789413312301092,0.4971405397826895,0.9090264382426926,0.6199222902063449,0.028814642544148488,0.07913502811797436,0.000845759622443993,0.12435358176436781,-0.019031560911065448,0.08071751139970135,-0.008455150899375876,-0.25877073557443975,0.37482610292959984,0.10164393533981628,0.5122161628128276,-0.028231901538474553,0.5295498437232292,-0.421371431885371,0.42458618099474865,-0.030521237217063825,-0.2514655880716662,0.09418527839775229,-0.37839402992993926,0.1307551826770297,-0.36800060873177814,0.6207350655811555,0.5546684156223888,0.9427632496251792,0.8345562465953656,0.9406336391553386,0.8314478639416304,0.906028792520554,0.8548166457980327,-0.6252090814401828,-0.5586838081777169,-0.3296495736621539,-0.2939542422016935,0.6204092120145841,0.892131278444741,0.5278496730110134,-0.2542391214591029
